from,to
RK,SP
RK,K
RK,HL
RK,LPK
RK,LPV
RK,ONKB
SP,RK
K,RK
HL,RK
LPK,RK
LPV,RK
ONKB,RK
LG,BS
LG,EJMS
BS,LG
EJMS,LG
LB,FVT
LB,BMS
LB,VCOB
FVT,LB
BMS,LB
VCOB,LB
KR,UOA
KR,BA
KR,LBMNE
UOA,KR
BA,KR
LBMNE,KR
HD,AMS
HD,BS
AMS,HD
BS,HD
HJ,VSLT
HJ,VCS
VSLT,HJ
VCS,HJ
MSP,BVMB
MSP,DSC
MSP,BSBC
MSP,STM
MSP,DIT
MSP,GHO
MSP,CVB
BVMB,MSP
DSC,MSP
BSBC,MSP
STM,MSP
DIT,MSP
GHO,MSP
CVB,MSP
SL,KAF
SL,BEY
SL,IVC
SL,PSU
KAF,SL
BEY,SL
IVC,SL
PSU,SL
JN,GBL
JN,BKS
JN,KS
JN,SMS
GBL,JN
BKS,JN
KS,JN
SMS,JN
IVdV,AK
IVdV,IBF
IVdV,CL
IVdV,RRV
IVdV,CT
IVdV,RC
AK,IVdV
IBF,IVdV
CL,IVdV
RRV,IVdV
CT,IVdV
RC,IVdV
HK,VU
HK,OS
HK,BS
VU,HK
OS,HK
BS,HK
ET,TTP
ET,AA
ET,EuT
ET,LIBA
TTP,ET
AA,ET
EuT,ET
LIBA,ET
MT,RC
MT,VLC
MT,VZ
MT,LCVB
MT,SAP
MT,VM
RC,MT
VLC,MT
VZ,MT
LCVB,MT
SAP,MT
VM,MT
JL,SU
JL,TTP
JL,EA
JL,CA
JL,UM
SU,JL
TTP,JL
EA,JL
CA,JL
UM,JL
